# Produccion,Cantidad de Tokens,Token 1,Token 2,Token 3,Token 4,Token 5,Token 6,Token 7,Token 8
1,8,200,234,201,235,239,2,5,240
2,7,202,201,3,238,4,236,2,
3,0,-1,,,,,,,
4,3,237,201,3,,,,,
5,0,-1,,,,,,,
6,1,203,,,,,,,
7,1,204,,,,,,,
8,1,205,,,,,,,
9,1,206,,,,,,,
10,1,207,,,,,,,
11,2,6,5,,,,,,
12,2,11,5,,,,,,
13,2,12,5,,,,,,
14,2,10,5,,,,,,
15,2,8,5,,,,,,
16,2,7,5,,,,,,
17,2,13,5,,,,,,
18,2,9,5,,,,,,
19,0,-1,,,,,,,
20,4,201,224,16,236,,,,
21,6,213,234,16,15,235,236,,
22,5,214,234,3,235,236,,,
23,2,215,236,,,,,,
24,7,210,5,212,234,16,235,236,
25,8,208,234,16,235,239,5,14,240
26,2,209,5,,,,,,
27,0,-1,,,,,,,
28,7,211,234,16,235,239,5,240,
29,4,216,239,5,240,,,,
30,3,237,16,15,,,,,
31,0,-1,,,,,,,
32,2,18,17,,,,,,
33,2,233,16,,,,,,
34,0,-1,,,,,,,
35,2,20,19,,,,,,
36,2,232,18,,,,,,
37,0,-1,,,,,,,
38,2,21,22,,,,,,
39,1,231,,,,,,,
40,0,-1,,,,,,,
41,2,25,23,,,,,,
42,2,24,25,,,,,,
43,0,-1,,,,,,,
44,1,225,,,,,,,
45,1,230,,,,,,,
46,1,226,,,,,,,
47,1,227,,,,,,,
48,1,228,,,,,,,
49,1,229,,,,,,,
50,2,27,26,,,,,,
51,2,220,25,,,,,,
52,2,221,25,,,,,,
53,0,-1,,,,,,,
54,2,29,28,,,,,,
55,2,222,27,,,,,,
56,2,223,27,,,,,,
57,2,243,27,,,,,,
58,0,-1,,,,,,,
59,1,201,,,,,,,
60,1,217,,,,,,,
61,1,218,,,,,,,
62,1,219,,,,,,,
63,1,241,,,,,,,
64,1,242,,,,,,,
65,3,234,16,235,,,,,
